[front_panel]
mode=T1 - R1
output=10 dB
gain=15 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Depth [µs]	Amplitude	HF-filtered	Amplitude-filtered	
1,228E+01	1,607E-01	0,000E+00	0,000E+00	
1,232E+01	1,775E-01	0,000E+00	0,000E+00	
1,236E+01	2,021E-01	0,000E+00	0,000E+00	
1,240E+01	2,349E-01	0,000E+00	0,000E+00	
1,244E+01	2,763E-01	0,000E+00	0,000E+00	
1,248E+01	3,260E-01	0,000E+00	0,000E+00	
1,252E+01	3,836E-01	0,000E+00	0,000E+00	
1,256E+01	4,477E-01	0,000E+00	0,000E+00	
1,260E+01	5,170E-01	0,000E+00	0,000E+00	
1,264E+01	5,896E-01	0,000E+00	0,000E+00	
1,268E+01	6,634E-01	0,000E+00	0,000E+00	
1,272E+01	7,361E-01	0,000E+00	0,000E+00	
1,276E+01	8,055E-01	0,000E+00	0,000E+00	
1,280E+01	8,694E-01	0,000E+00	0,000E+00	
1,284E+01	9,260E-01	0,000E+00	0,000E+00	
1,288E+01	9,738E-01	0,000E+00	0,000E+00	
1,292E+01	1,011E+00	0,000E+00	0,000E+00	
1,296E+01	1,038E+00	0,000E+00	0,000E+00	
1,300E+01	1,053E+00	0,000E+00	0,000E+00	
1,304E+01	1,057E+00	0,000E+00	0,000E+00	
1,308E+01	1,049E+00	0,000E+00	0,000E+00	
1,312E+01	1,031E+00	0,000E+00	0,000E+00	
1,316E+01	1,004E+00	0,000E+00	0,000E+00	
1,320E+01	9,688E-01	0,000E+00	0,000E+00	
1,324E+01	9,272E-01	0,000E+00	0,000E+00	
1,328E+01	8,810E-01	0,000E+00	0,000E+00	
1,332E+01	8,321E-01	0,000E+00	0,000E+00	
1,336E+01	7,823E-01	0,000E+00	0,000E+00	
1,340E+01	7,336E-01	0,000E+00	0,000E+00	
1,344E+01	6,875E-01	0,000E+00	0,000E+00	
1,348E+01	6,452E-01	0,000E+00	0,000E+00	
1,352E+01	6,076E-01	0,000E+00	0,000E+00	
1,356E+01	5,754E-01	0,000E+00	0,000E+00	
1,360E+01	5,485E-01	0,000E+00	0,000E+00	
1,364E+01	5,267E-01	0,000E+00	0,000E+00	
1,368E+01	5,093E-01	0,000E+00	0,000E+00	
1,372E+01	4,954E-01	0,000E+00	0,000E+00	
1,376E+01	4,839E-01	0,000E+00	0,000E+00	
1,380E+01	4,736E-01	0,000E+00	0,000E+00	
1,384E+01	4,634E-01	0,000E+00	0,000E+00	
1,388E+01	4,523E-01	0,000E+00	0,000E+00	
1,392E+01	4,393E-01	0,000E+00	0,000E+00	
1,396E+01	4,239E-01	0,000E+00	0,000E+00	
1,400E+01	4,057E-01	0,000E+00	0,000E+00	
1,404E+01	3,847E-01	0,000E+00	0,000E+00	
1,408E+01	3,609E-01	0,000E+00	0,000E+00	
1,412E+01	3,347E-01	0,000E+00	0,000E+00	
1,416E+01	3,068E-01	0,000E+00	0,000E+00	
1,420E+01	2,780E-01	0,000E+00	0,000E+00	
1,424E+01	2,491E-01	0,000E+00	0,000E+00	
1,428E+01	2,211E-01	0,000E+00	0,000E+00	
1,432E+01	1,953E-01	0,000E+00	0,000E+00	
1,436E+01	1,726E-01	0,000E+00	0,000E+00	
1,440E+01	1,542E-01	0,000E+00	0,000E+00	
1,444E+01	1,411E-01	0,000E+00	0,000E+00	
1,448E+01	1,342E-01	0,000E+00	0,000E+00	
1,452E+01	1,341E-01	0,000E+00	0,000E+00	
1,456E+01	1,415E-01	0,000E+00	0,000E+00	
1,460E+01	1,563E-01	0,000E+00	0,000E+00	
1,464E+01	1,786E-01	0,000E+00	0,000E+00	
1,468E+01	2,079E-01	0,000E+00	0,000E+00	
1,472E+01	2,432E-01	0,000E+00	0,000E+00	
1,476E+01	2,836E-01	0,000E+00	0,000E+00	
1,480E+01	3,277E-01	0,000E+00	0,000E+00	
1,484E+01	3,739E-01	0,000E+00	0,000E+00	
1,488E+01	4,206E-01	0,000E+00	0,000E+00	
1,492E+01	4,662E-01	0,000E+00	0,000E+00	
1,496E+01	5,092E-01	0,000E+00	0,000E+00	
1,500E+01	5,482E-01	0,000E+00	0,000E+00	
1,504E+01	5,819E-01	0,000E+00	0,000E+00	
1,508E+01	6,095E-01	0,000E+00	0,000E+00	
1,512E+01	6,305E-01	0,000E+00	0,000E+00	
1,516E+01	6,447E-01	0,000E+00	0,000E+00	
1,520E+01	6,522E-01	0,000E+00	0,000E+00	
1,524E+01	6,536E-01	0,000E+00	0,000E+00	
1,528E+01	6,496E-01	0,000E+00	0,000E+00	
1,532E+01	6,413E-01	0,000E+00	0,000E+00	
1,536E+01	6,298E-01	0,000E+00	0,000E+00	
1,540E+01	6,162E-01	0,000E+00	0,000E+00	
1,544E+01	6,018E-01	0,000E+00	0,000E+00	
1,548E+01	5,877E-01	0,000E+00	0,000E+00	
1,552E+01	5,746E-01	0,000E+00	0,000E+00	
1,556E+01	5,634E-01	0,000E+00	0,000E+00	
1,560E+01	5,545E-01	0,000E+00	0,000E+00	
1,564E+01	5,479E-01	0,000E+00	0,000E+00	
1,568E+01	5,436E-01	0,000E+00	0,000E+00	
1,572E+01	5,415E-01	0,000E+00	0,000E+00	
1,576E+01	5,410E-01	0,000E+00	0,000E+00	
1,580E+01	5,416E-01	0,000E+00	0,000E+00	
1,584E+01	5,429E-01	0,000E+00	0,000E+00	
1,588E+01	5,441E-01	0,000E+00	0,000E+00	
1,592E+01	5,447E-01	0,000E+00	0,000E+00	
1,596E+01	5,444E-01	0,000E+00	0,000E+00	
1,600E+01	5,426E-01	0,000E+00	0,000E+00	
1,604E+01	5,391E-01	0,000E+00	0,000E+00	
1,608E+01	5,337E-01	0,000E+00	0,000E+00	
1,612E+01	5,263E-01	0,000E+00	0,000E+00	
1,616E+01	5,169E-01	0,000E+00	0,000E+00	
1,620E+01	5,056E-01	0,000E+00	0,000E+00	
1,624E+01	4,928E-01	0,000E+00	0,000E+00	
1,628E+01	4,786E-01	0,000E+00	0,000E+00	
1,632E+01	4,636E-01	0,000E+00	0,000E+00	
1,636E+01	4,480E-01	0,000E+00	0,000E+00	
1,640E+01	4,324E-01	0,000E+00	0,000E+00	
1,644E+01	4,171E-01	0,000E+00	0,000E+00	
1,648E+01	4,027E-01	0,000E+00	0,000E+00	
1,652E+01	3,894E-01	0,000E+00	0,000E+00	
1,656E+01	3,775E-01	0,000E+00	0,000E+00	
1,660E+01	3,671E-01	0,000E+00	0,000E+00	
1,664E+01	3,582E-01	0,000E+00	0,000E+00	
1,668E+01	3,507E-01	0,000E+00	0,000E+00	
1,672E+01	3,445E-01	0,000E+00	0,000E+00	
1,676E+01	3,393E-01	0,000E+00	0,000E+00	
1,680E+01	3,349E-01	0,000E+00	0,000E+00	
1,684E+01	3,309E-01	0,000E+00	0,000E+00	
1,688E+01	3,269E-01	0,000E+00	0,000E+00	
1,692E+01	3,227E-01	0,000E+00	0,000E+00	
1,696E+01	3,180E-01	0,000E+00	0,000E+00	
1,700E+01	3,125E-01	0,000E+00	0,000E+00	
1,704E+01	3,059E-01	0,000E+00	0,000E+00	
1,708E+01	2,982E-01	0,000E+00	0,000E+00	
1,712E+01	2,891E-01	0,000E+00	0,000E+00	
1,716E+01	2,785E-01	0,000E+00	0,000E+00	
1,720E+01	2,665E-01	0,000E+00	0,000E+00	
1,724E+01	2,531E-01	0,000E+00	0,000E+00	
1,728E+01	2,386E-01	0,000E+00	0,000E+00	
1,732E+01	2,233E-01	0,000E+00	0,000E+00	
1,736E+01	2,076E-01	0,000E+00	0,000E+00	
1,740E+01	1,921E-01	0,000E+00	0,000E+00	
1,744E+01	1,774E-01	0,000E+00	0,000E+00	
1,748E+01	1,643E-01	0,000E+00	0,000E+00	
1,752E+01	1,535E-01	0,000E+00	0,000E+00	
1,756E+01	1,455E-01	0,000E+00	0,000E+00	
1,760E+01	1,408E-01	0,000E+00	0,000E+00	
1,764E+01	1,397E-01	0,000E+00	0,000E+00	
1,768E+01	1,423E-01	0,000E+00	0,000E+00	
1,772E+01	1,483E-01	0,000E+00	0,000E+00	
1,776E+01	1,575E-01	0,000E+00	0,000E+00	
1,780E+01	1,691E-01	0,000E+00	0,000E+00	
1,784E+01	1,824E-01	0,000E+00	0,000E+00	
1,788E+01	1,966E-01	0,000E+00	0,000E+00	
1,792E+01	2,108E-01	0,000E+00	0,000E+00	
