[front_panel]
mode=T1 - R1
output=10 dB
gain=15 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Distance | Gap | Interval [µs]	Cepstrum	
3,728E+01	1,785E+00	
3,736E+01	3,600E+00	
3,744E+01	4,312E+00	
3,752E+01	8,171E+00	
3,760E+01	3,907E+00	
3,768E+01	2,457E+00	
3,776E+01	1,865E+00	
3,784E+01	5,224E-01	
3,792E+01	1,653E+00	
3,800E+01	2,720E-01	
3,808E+01	3,155E+00	
3,816E+01	4,476E+00	
3,824E+01	2,955E+00	
3,832E+01	1,922E+00	
3,840E+01	3,351E+00	
3,848E+01	5,556E+00	
3,856E+01	2,585E+00	
3,864E+01	1,176E+01	
3,872E+01	8,165E+00	
3,880E+01	9,640E+00	
3,888E+01	2,450E+00	
3,896E+01	4,263E+00	
3,904E+01	4,204E+00	
3,912E+01	4,601E+00	
3,920E+01	4,927E+00	
3,928E+01	5,307E+00	
3,936E+01	6,679E+00	
3,944E+01	4,807E+00	
3,952E+01	1,697E+00	
3,960E+01	3,199E+00	
3,968E+01	2,680E+00	
3,976E+01	5,926E+00	
3,984E+01	2,280E+00	
3,992E+01	6,946E+00	
4,000E+01	9,104E+00	
4,008E+01	6,209E+00	
4,016E+01	5,331E+00	
4,024E+01	4,302E+00	
4,032E+01	1,378E+00	
4,040E+01	7,019E+00	
4,048E+01	5,902E+00	
4,056E+01	3,582E+00	
4,064E+01	3,303E+00	
4,072E+01	4,207E+00	
4,080E+01	3,521E+00	
4,088E+01	5,029E+00	
