[front_panel]
mode=T1 - R1
output=10 dB
gain=25 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Frequency [MHz]	FFT	
5,859E+00	1,466E+00	
5,872E+00	2,866E+00	
5,884E+00	1,263E+00	
5,896E+00	1,731E+00	
5,908E+00	7,090E-01	
5,920E+00	1,637E+00	
5,933E+00	1,582E+00	
5,945E+00	2,691E+00	
5,957E+00	2,029E+00	
5,969E+00	2,596E+00	
5,981E+00	1,088E+00	
5,994E+00	9,171E-01	
6,006E+00	1,274E+00	
6,018E+00	2,581E+00	
6,030E+00	2,500E+00	
6,042E+00	3,229E+00	
6,055E+00	2,237E+00	
6,067E+00	1,853E+00	
6,079E+00	4,381E-01	
6,091E+00	1,537E+00	
6,104E+00	2,400E+00	
6,116E+00	3,536E+00	
6,128E+00	2,933E+00	
6,140E+00	3,087E+00	
6,152E+00	1,373E+00	
6,165E+00	3,532E-01	
6,177E+00	1,366E+00	
6,189E+00	2,646E+00	
6,201E+00	2,919E+00	
6,213E+00	3,847E+00	
6,226E+00	2,689E+00	
6,238E+00	2,369E+00	
6,250E+00	6,396E-01	
6,262E+00	1,194E+00	
6,274E+00	2,184E+00	
6,287E+00	3,660E+00	
6,299E+00	3,171E+00	
6,311E+00	3,486E+00	
6,323E+00	2,132E+00	
6,335E+00	8,754E-01	
6,348E+00	8,449E-01	
6,360E+00	2,890E+00	
6,372E+00	2,950E+00	
6,384E+00	3,854E+00	
6,396E+00	3,379E+00	
6,409E+00	2,477E+00	
6,421E+00	1,525E+00	
6,433E+00	9,563E-01	
6,445E+00	2,125E+00	
6,458E+00	3,490E+00	
6,470E+00	3,884E+00	
6,482E+00	3,666E+00	
6,494E+00	2,549E+00	
6,506E+00	1,386E+00	
6,519E+00	8,297E-01	
6,531E+00	2,118E+00	
6,543E+00	2,922E+00	
6,555E+00	3,380E+00	
6,567E+00	3,012E+00	
6,580E+00	2,499E+00	
6,592E+00	1,370E+00	
6,604E+00	7,321E-01	
6,616E+00	1,797E+00	
6,628E+00	2,632E+00	
6,641E+00	3,041E+00	
6,653E+00	2,933E+00	
6,665E+00	1,851E+00	
6,677E+00	1,381E+00	
6,689E+00	1,357E+00	
6,702E+00	1,443E+00	
6,714E+00	2,100E+00	
6,726E+00	2,768E+00	
6,738E+00	2,077E+00	
6,750E+00	2,120E+00	
6,763E+00	1,753E+00	
6,775E+00	2,021E-01	
6,787E+00	1,170E+00	
6,799E+00	2,125E+00	
6,812E+00	1,264E+00	
6,824E+00	2,180E+00	
6,836E+00	2,251E+00	
6,848E+00	4,565E-01	
6,860E+00	1,315E+00	
6,873E+00	1,561E+00	
6,885E+00	7,264E-01	
6,897E+00	1,662E+00	
6,909E+00	2,472E+00	
6,921E+00	3,159E-01	
6,934E+00	1,973E+00	
6,946E+00	1,327E+00	
6,958E+00	8,108E-01	
6,970E+00	1,034E+00	
6,982E+00	2,844E+00	
6,995E+00	6,427E-01	
7,007E+00	2,135E+00	
7,019E+00	1,853E+00	
7,031E+00	8,617E-01	
