[front_panel]
mode=T1 - R1
output=10 dB
gain=15 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Frequency [MHz]	FFT	
7,898E+00	7,843E-01	
7,910E+00	4,655E-01	
7,922E+00	3,239E-01	
7,935E+00	4,739E-01	
7,947E+00	7,416E-01	
7,959E+00	3,574E-01	
7,971E+00	4,046E-01	
7,983E+00	1,305E-01	
7,996E+00	3,726E-01	
8,008E+00	4,717E-01	
8,020E+00	3,973E-01	
8,032E+00	5,745E-01	
8,044E+00	3,270E-01	
8,057E+00	1,430E-01	
8,069E+00	6,904E-01	
8,081E+00	2,251E-01	
8,093E+00	1,486E-01	
8,105E+00	4,678E-01	
8,118E+00	3,265E-01	
8,130E+00	5,434E-01	
8,142E+00	6,022E-01	
8,154E+00	5,261E-01	
8,167E+00	4,796E-01	
8,179E+00	3,210E-01	
8,191E+00	1,494E-01	
8,203E+00	3,220E-01	
8,215E+00	3,691E-01	
8,228E+00	6,930E-01	
8,240E+00	5,587E-01	
8,252E+00	6,994E-01	
8,264E+00	4,253E-01	
8,276E+00	2,216E-01	
8,289E+00	3,609E-01	
8,301E+00	5,234E-01	
8,313E+00	4,021E-01	
8,325E+00	3,372E-01	
8,337E+00	7,332E-01	
8,350E+00	8,704E-02	
8,362E+00	5,317E-01	
8,374E+00	4,007E-01	
8,386E+00	5,411E-01	
8,398E+00	1,805E-01	
8,411E+00	4,953E-01	
8,423E+00	5,470E-01	
8,435E+00	1,627E-01	
8,447E+00	2,984E-01	
8,459E+00	3,146E-01	
8,472E+00	6,644E-01	
8,484E+00	4,769E-01	
8,496E+00	4,784E-01	
8,508E+00	6,054E-01	
8,521E+00	3,073E-01	
8,533E+00	1,338E-01	
8,545E+00	2,156E-01	
8,557E+00	7,921E-01	
8,569E+00	4,729E-01	
8,582E+00	5,720E-01	
8,594E+00	5,074E-01	
8,606E+00	5,605E-01	
8,618E+00	2,362E-01	
8,630E+00	3,251E-01	
8,643E+00	2,263E-01	
8,655E+00	5,244E-01	
8,667E+00	6,156E-01	
8,679E+00	5,230E-01	
8,691E+00	3,983E-01	
8,704E+00	6,144E-01	
8,716E+00	3,941E-01	
8,728E+00	3,802E-01	
8,740E+00	7,112E-02	
8,752E+00	6,511E-01	
8,765E+00	2,533E-01	
8,777E+00	7,695E-01	
8,789E+00	5,446E-02	
8,801E+00	6,437E-01	
8,813E+00	2,095E-01	
8,826E+00	8,341E-01	
8,838E+00	1,572E-01	
8,850E+00	6,649E-01	
8,862E+00	3,517E-01	
8,875E+00	4,599E-01	
8,887E+00	4,003E-01	
8,899E+00	1,362E-01	
8,911E+00	8,040E-01	
8,923E+00	5,688E-01	
8,936E+00	6,396E-01	
8,948E+00	4,197E-01	
8,960E+00	5,092E-01	
8,972E+00	9,535E-02	
8,984E+00	4,077E-01	
8,997E+00	2,357E-01	
9,009E+00	8,000E-01	
9,021E+00	6,217E-01	
9,033E+00	4,500E-01	
9,045E+00	5,667E-01	
9,058E+00	1,775E-01	
9,070E+00	5,235E-01	
9,082E+00	1,493E-01	
9,094E+00	6,893E-01	
9,106E+00	4,511E-01	
9,119E+00	6,015E-01	
9,131E+00	2,446E-01	
9,143E+00	4,059E-01	
9,155E+00	5,622E-01	
9,167E+00	2,557E-01	
9,180E+00	5,099E-01	
9,192E+00	5,163E-01	
9,204E+00	4,917E-01	
9,216E+00	2,614E-01	
9,229E+00	3,860E-01	
9,241E+00	3,336E-01	
9,253E+00	4,238E-01	
9,265E+00	6,993E-01	
9,277E+00	2,919E-01	
9,290E+00	6,819E-01	
9,302E+00	3,448E-02	
9,314E+00	4,785E-01	
9,326E+00	4,342E-01	
9,338E+00	3,901E-01	
9,351E+00	5,532E-01	
9,363E+00	5,132E-01	
9,375E+00	3,423E-01	
9,387E+00	3,518E-01	
9,399E+00	4,215E-01	
9,412E+00	1,744E-01	
9,424E+00	5,207E-01	
9,436E+00	3,215E-01	
9,448E+00	4,610E-01	
9,460E+00	6,470E-01	
9,473E+00	3,091E-01	
9,485E+00	4,674E-01	
9,497E+00	2,596E-01	
9,509E+00	1,729E-01	
9,521E+00	6,242E-01	
9,534E+00	5,785E-01	
9,546E+00	8,224E-02	
9,558E+00	5,453E-01	
9,570E+00	4,784E-01	
9,583E+00	3,179E-01	
9,595E+00	3,357E-01	
9,607E+00	5,483E-01	
9,619E+00	3,601E-01	
9,631E+00	5,501E-01	
9,644E+00	4,718E-01	
9,656E+00	3,150E-01	
9,668E+00	2,659E-01	
9,680E+00	5,686E-01	
9,692E+00	5,245E-01	
9,705E+00	7,175E-01	
9,717E+00	3,035E-01	
9,729E+00	6,362E-01	
9,741E+00	2,597E-01	
9,753E+00	6,728E-01	
9,766E+00	3,912E-01	
9,778E+00	4,663E-01	
9,790E+00	4,206E-01	
9,802E+00	8,414E-01	
9,814E+00	5,290E-01	
9,827E+00	4,178E-01	
9,839E+00	3,822E-01	
9,851E+00	4,049E-01	
9,863E+00	6,709E-01	
9,875E+00	7,629E-01	
9,888E+00	3,414E-01	
9,900E+00	5,507E-01	
9,912E+00	3,223E-01	
9,924E+00	6,130E-01	
9,937E+00	7,520E-01	
9,949E+00	6,085E-01	
9,961E+00	6,322E-01	
9,973E+00	5,568E-01	
9,985E+00	4,942E-01	
9,998E+00	4,167E-01	
1,001E+01	7,200E-01	
1,002E+01	3,844E-01	
1,003E+01	7,132E-01	
1,005E+01	6,138E-01	
1,006E+01	6,523E-01	
1,007E+01	6,899E-01	
1,008E+01	4,722E-01	
1,010E+01	5,381E-01	
1,011E+01	6,327E-01	
1,012E+01	4,961E-01	
1,013E+01	8,259E-01	
1,014E+01	4,668E-01	
1,016E+01	5,279E-01	
1,017E+01	7,020E-01	
1,018E+01	6,699E-01	
1,019E+01	6,575E-01	
1,021E+01	4,551E-01	
1,022E+01	7,847E-01	
1,023E+01	5,232E-01	
1,024E+01	7,312E-01	
1,025E+01	5,008E-01	
1,027E+01	2,971E-01	
1,028E+01	8,339E-01	
1,029E+01	8,018E-01	
1,030E+01	7,459E-01	
1,031E+01	5,313E-01	
1,033E+01	7,901E-01	
1,034E+01	6,356E-01	
1,035E+01	6,042E-01	
1,036E+01	4,854E-01	
1,038E+01	5,034E-01	
1,039E+01	7,873E-01	
1,040E+01	9,220E-01	
1,041E+01	4,424E-01	
1,042E+01	7,397E-01	
1,044E+01	5,670E-01	
1,045E+01	5,309E-01	
1,046E+01	7,362E-01	
1,047E+01	5,523E-01	
1,049E+01	7,212E-01	
1,050E+01	7,002E-01	
1,051E+01	6,846E-01	
1,052E+01	6,040E-01	
1,053E+01	5,912E-01	
1,055E+01	4,899E-01	
1,056E+01	6,577E-01	
1,057E+01	6,940E-01	
1,058E+01	7,462E-01	
1,060E+01	5,227E-01	
